r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS27,2042,1.8755
KENYA,BESS_TECH,TS27,2043,2.0437
KENYA,BESS_TECH,TS27,2044,1.3525
KENYA,BESS_TECH,TS27,2045,5.3509
KENYA,BESS_TECH,TS27,2046,7.2701
KENYA,BESS_TECH,TS27,2047,9.319
KENYA,BESS_TECH,TS27,2048,9.4235
KENYA,BESS_TECH,TS27,2049,4.4671
KENYA,BESS_TECH,TS27,2050,8.8804
KENYA,BESS_TECH,TS28,2024,0.2048
KENYA,BESS_TECH,TS28,2025,1.314
KENYA,BESS_TECH,TS28,2026,0.076
KENYA,BESS_TECH,TS28,2027,1.2787
KENYA,BESS_TECH,TS28,2028,1.3611
KENYA,BESS_TECH,TS28,2029,1.1629
KENYA,BESS_TECH,TS28,2030,1.5322
KENYA,BESS_TECH,TS28,2031,0.3889
KENYA,BESS_TECH,TS28,2032,1.6337
KENYA,BESS_TECH,TS28,2033,0.2141
KENYA,BESS_TECH,TS28,2034,1.8368
KENYA,BESS_TECH,TS28,2037,0.3716
KENYA,BESS_TECH,TS28,2038,0.7663
KENYA,BESS_TECH,TS28,2039,1.1806
KENYA,BESS_TECH,TS28,2040,1.3721
