r,t,y,TotalTechnologyAnnualActivity
KENYA,PWRGEO008,2030,0.8645
KENYA,PWRGEO008,2031,0.8645
KENYA,PWRGEO008,2032,0.8645
KENYA,PWRGEO008,2033,0.8645
KENYA,PWRGEO008,2034,0.8645
KENYA,PWRGEO008,2035,0.8645
KENYA,PWRGEO008,2036,0.8645
KENYA,PWRGEO008,2037,0.8645
KENYA,PWRGEO008,2038,0.8645
KENYA,PWRGEO008,2039,0.8645
KENYA,PWRGEO008,2040,0.8645
KENYA,PWRGEO009,2019,0.8198
KENYA,PWRGEO009,2020,0.8198
KENYA,PWRGEO009,2021,0.8198
KENYA,PWRGEO009,2022,0.8198
KENYA,PWRGEO009,2023,0.8198
KENYA,PWRGEO009,2024,0.8198
KENYA,PWRGEO009,2025,0.8198
KENYA,PWRGEO009,2026,0.8198
KENYA,PWRGEO009,2027,0.8198
KENYA,PWRGEO009,2028,0.8198
KENYA,PWRGEO009,2029,0.8198
KENYA,PWRGEO009,2030,0.8198
KENYA,PWRGEO010,2023,1.0434
KENYA,PWRGEO010,2024,1.0434
KENYA,PWRGEO010,2025,1.0434
KENYA,PWRGEO010,2026,1.0434
KENYA,PWRGEO010,2027,1.0434
KENYA,PWRGEO010,2028,1.0434
KENYA,PWRGEO010,2029,1.0434
KENYA,PWRGEO010,2030,1.0434
KENYA,PWRGEO010,2031,1.0434
KENYA,PWRGEO010,2032,1.0434
KENYA,PWRGEO010,2033,1.0434
KENYA,PWRGEO010,2034,1.0434
KENYA,PWRGEO010,2035,1.0434
KENYA,PWRGEO010,2036,1.0434
KENYA,PWRGEO010,2037,1.0434
KENYA,PWRGEO010,2038,1.0434
KENYA,PWRGEO010,2039,1.0434
KENYA,PWRGEO010,2040,1.0434
KENYA,PWRGEO010,2041,1.0434
KENYA,PWRGEO010,2042,1.0434
KENYA,PWRGEO010,2043,1.0434
KENYA,PWRGEO010,2044,1.0434
KENYA,PWRGEO010,2045,1.0434
KENYA,PWRGEO010,2046,1.0434
KENYA,PWRGEO010,2047,1.0434
KENYA,PWRGEO011,2022,2.4833
