r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS28,2044,0.0146
KENYA,BESS_TECH,TS28,2045,1.2969
KENYA,BESS_TECH,TS28,2046,1.6004
KENYA,BESS_TECH,TS28,2049,5.2691
KENYA,BESS_TECH,TS28,2050,5.4591
KENYA,BESS_TECH,TS29,2024,0.2048
KENYA,BESS_TECH,TS29,2025,2.7221
KENYA,BESS_TECH,TS29,2026,2.7221
KENYA,BESS_TECH,TS29,2027,2.7221
KENYA,BESS_TECH,TS29,2028,2.7221
KENYA,BESS_TECH,TS29,2029,2.7221
KENYA,BESS_TECH,TS29,2030,2.7221
KENYA,BESS_TECH,TS29,2031,2.7221
KENYA,BESS_TECH,TS29,2032,2.7221
KENYA,BESS_TECH,TS29,2033,2.7221
KENYA,BESS_TECH,TS29,2034,2.5174
KENYA,BESS_TECH,TS29,2044,1.9248
KENYA,BESS_TECH,TS29,2045,3.0683
KENYA,BESS_TECH,TS29,2046,4.2391
KENYA,BESS_TECH,TS29,2047,10.6529
KENYA,BESS_TECH,TS29,2048,8.1235
KENYA,BESS_TECH,TS29,2049,17.398
KENYA,BESS_TECH,TS29,2050,18.4686
KENYA,BESS_TECH,TS30,2024,0.2048
KENYA,BESS_TECH,TS30,2025,2.7221
KENYA,BESS_TECH,TS30,2026,2.7221
KENYA,BESS_TECH,TS30,2027,2.7221
KENYA,BESS_TECH,TS30,2028,2.7221
KENYA,BESS_TECH,TS30,2029,2.7221
KENYA,BESS_TECH,TS30,2030,2.7221
KENYA,BESS_TECH,TS30,2031,2.7221
KENYA,BESS_TECH,TS30,2032,2.7221
KENYA,BESS_TECH,TS30,2033,2.7221
KENYA,BESS_TECH,TS30,2034,2.5174
KENYA,BESS_TECH,TS30,2044,1.9248
KENYA,BESS_TECH,TS30,2045,3.0683
KENYA,BESS_TECH,TS30,2046,7.4984
KENYA,BESS_TECH,TS30,2047,11.357
KENYA,BESS_TECH,TS30,2048,21.4741
KENYA,BESS_TECH,TS30,2049,33.1128
KENYA,BESS_TECH,TS30,2050,33.1128
KENYA,BESS_TECH,TS31,2024,0.1447
KENYA,BESS_TECH,TS31,2025,2.7221
KENYA,BESS_TECH,TS31,2027,0.0092
KENYA,BESS_TECH,TS31,2028,0.1174
KENYA,BESS_TECH,TS31,2029,0.6528
KENYA,BESS_TECH,TS31,2030,0.6127
KENYA,BESS_TECH,TS31,2031,0.2351
KENYA,BESS_TECH,TS31,2032,2.7221
KENYA,BESS_TECH,TS31,2033,2.7221
KENYA,BESS_TECH,TS31,2034,2.5174
KENYA,BESS_TECH,TS31,2044,1.9248
KENYA,BESS_TECH,TS31,2045,3.0683
KENYA,BESS_TECH,TS31,2046,7.4984
KENYA,BESS_TECH,TS31,2047,11.357
KENYA,BESS_TECH,TS31,2048,14.735
KENYA,BESS_TECH,TS31,2049,20.0623
KENYA,BESS_TECH,TS31,2050,17.2109
KENYA,BESS_TECH,TS32,2024,0.2048
KENYA,BESS_TECH,TS32,2025,1.5668
KENYA,BESS_TECH,TS32,2026,2.7221
KENYA,BESS_TECH,TS32,2027,0.934
KENYA,BESS_TECH,TS32,2028,1.6173
KENYA,BESS_TECH,TS32,2029,2.6978
KENYA,BESS_TECH,TS32,2030,0.3073
KENYA,BESS_TECH,TS32,2031,0.7053
KENYA,BESS_TECH,TS32,2032,2.0285
KENYA,BESS_TECH,TS32,2033,0.3142
KENYA,BESS_TECH,TS32,2034,0.4667
KENYA,BESS_TECH,TS32,2044,1.9248
KENYA,BESS_TECH,TS32,2045,0.9927
KENYA,BESS_TECH,TS32,2046,7.4984
KENYA,BESS_TECH,TS32,2047,3.5066
KENYA,BESS_TECH,TS32,2048,0.3446
KENYA,BESS_TECH,TS32,2049,6.3357
KENYA,BESS_TECH,TS32,2050,6.6381
KENYA,BESS_TECH,TS33,2024,0.2048
KENYA,BESS_TECH,TS33,2025,2.7221
KENYA,BESS_TECH,TS33,2026,0.3956
KENYA,BESS_TECH,TS33,2027,0.4893
KENYA,BESS_TECH,TS33,2029,0.12
KENYA,BESS_TECH,TS33,2030,0.3533
KENYA,BESS_TECH,TS33,2031,0.8133
KENYA,BESS_TECH,TS33,2032,1.6144
KENYA,BESS_TECH,TS33,2033,2.7221
KENYA,BESS_TECH,TS33,2034,2.5174
KENYA,BESS_TECH,TS33,2044,0.7739
KENYA,BESS_TECH,TS33,2045,3.0683
KENYA,BESS_TECH,TS33,2046,7.4984
KENYA,BESS_TECH,TS33,2047,11.357
KENYA,BESS_TECH,TS33,2048,8.4089
KENYA,BESS_TECH,TS33,2049,21.3347
KENYA,BESS_TECH,TS33,2050,17.7083
KENYA,BESS_TECH,TS34,2024,0.2048
KENYA,BESS_TECH,TS34,2025,0.719
KENYA,BESS_TECH,TS34,2026,2.7221
KENYA,BESS_TECH,TS34,2027,2.7221
KENYA,BESS_TECH,TS34,2028,2.7221
KENYA,BESS_TECH,TS34,2029,2.7221
KENYA,BESS_TECH,TS34,2030,2.7221
KENYA,BESS_TECH,TS34,2031,2.7221
KENYA,BESS_TECH,TS34,2032,2.7221
